 2018-01-31 15:22:04.733 [dw-21] INFO  w.ws.BroadcastSocket - bind user :1001 Session Success!
 2018-01-31 15:22:04.735 [dw-21] INFO  w.ws.BroadcastSocket - send msg:bind user :1001 Session Success! to:4558515b 
 2018-01-31 15:22:40.297 [pool-4-thread-4] INFO  w.mq.ConsumerHandler - 收到消息：{"data":"{\"count\":66}"}
 2018-01-31 15:22:40.302 [pool-4-thread-4] INFO  w.ws.BroadcastSocket - send msg:{"count":66} to:1163415899 
 2018-01-31 15:40:23.767 [main] INFO  o.e.jetty.util.log - Logging initialized @1581ms
 2018-01-31 15:40:23.901 [main] INFO  i.d.a.AssetsBundle - Registering AssetBundle with name: web for path /web/*
 2018-01-31 15:40:23.908 [main] INFO  i.d.s.ServerFactory - Starting WebsocketApp
 2018-01-31 15:40:23.913 [main] INFO  i.d.s.SimpleServerFactory - Registering jersey handler with root path prefix: /
 2018-01-31 15:40:23.927 [main] INFO  i.d.s.SimpleServerFactory - Registering admin handler with root path prefix: /admin
 2018-01-31 15:40:23.946 [main] INFO  o.e.j.s.SetUIDListener - Opened WebsocketApp@841e575{HTTP/1.1}{0.0.0.0:8091}
 2018-01-31 15:40:23.949 [main] INFO  o.e.j.server.Server - jetty-9.2.13.v20150730
 2018-01-31 15:40:24.469 [main] INFO  i.d.j.DropwizardResourceConfig - The following paths were found for the configured resources:

    POST    /broadcast (websocket.api.BroadcasterResource)

 2018-01-31 15:40:24.473 [main] INFO  o.e.j.s.h.ContextHandler - Started i.d.j.MutableServletContextHandler@1f966492{/,null,AVAILABLE}
 2018-01-31 15:40:24.478 [main] INFO  i.d.s.AdminEnvironment - tasks = 

    POST    /tasks/log-level (io.dropwizard.servlets.tasks.LogConfigurationTask)
    POST    /tasks/gc (io.dropwizard.servlets.tasks.GarbageCollectionTask)

 2018-01-31 15:40:24.478 [main] WARN  i.d.s.AdminEnvironment - 
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!    THIS APPLICATION HAS NO HEALTHCHECKS. THIS MEANS YOU WILL NEVER KNOW      !
!     IF IT DIES IN PRODUCTION, WHICH MEANS YOU WILL NEVER KNOW IF YOU'RE      !
!    LETTING YOUR USERS DOWN. YOU SHOULD ADD A HEALTHCHECK FOR EACH OF YOUR    !
!         APPLICATION'S DEPENDENCIES WHICH FULLY (BUT LIGHTLY) TESTS IT.       !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
 2018-01-31 15:40:24.484 [main] INFO  o.e.j.s.h.ContextHandler - Started i.d.j.MutableServletContextHandler@2116b68b{/admin,null,AVAILABLE}
 2018-01-31 15:40:24.550 [main] INFO  o.e.j.s.ServerConnector - Started WebsocketApp@841e575{HTTP/1.1}{0.0.0.0:8091}
 2018-01-31 15:40:24.550 [main] INFO  o.e.j.server.Server - Started @2366ms
 2018-01-31 15:40:24.550 [main] INFO  w.WebsocketApp - start rabbimq server ..
 2018-01-31 15:40:25.615 [main] ERROR w.mq.Consumer - Failed to connect to RabbitMQ servers
 ! java.net.ConnectException: Connection refused: connect
! at java.net.DualStackPlainSocketImpl.waitForConnect(Native Method)
! at java.net.DualStackPlainSocketImpl.socketConnect(DualStackPlainSocketImpl.java:85)
! at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:350)
! at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:206)
! at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:188)
! at java.net.PlainSocketImpl.connect(PlainSocketImpl.java:172)
! at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392)
! at java.net.Socket.connect(Socket.java:589)
! at com.rabbitmq.client.impl.FrameHandlerFactory.create(FrameHandlerFactory.java:32)
! at com.rabbitmq.client.impl.recovery.RecoveryAwareAMQConnectionFactory.newConnection(RecoveryAwareAMQConnectionFactory.java:34)
! at com.rabbitmq.client.impl.recovery.AutorecoveringConnection.init(AutorecoveringConnection.java:91)
! at com.rabbitmq.client.ConnectionFactory.newConnection(ConnectionFactory.java:670)
! at com.rabbitmq.client.ConnectionFactory.newConnection(ConnectionFactory.java:644)
! at websocket.mq.Consumer.init(Consumer.java:42)
! at websocket.WebsocketApp.rabbitmqServer(WebsocketApp.java:73)
! at websocket.WebsocketApp.main(WebsocketApp.java:32)
! at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
! at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
! at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
! at java.lang.reflect.Method.invoke(Method.java:497)
! at com.intellij.rt.execution.application.AppMain.main(AppMain.java:144)
